Set,Card #,Card Name,Type,Cost,Light,Fire,Water,Wind,Darkness,Void
adk,088,"Ciel, Sorceress Priestess",Resonator,3,,,,2,,1
adk,089,Ciel's Familiar Mikay,Resonator,2,,,,1,,1
adk,091,Destruction of the Portal,Chant (Quickcast),2,,,,1,,1
adk,106,Other World Dreams,Chant (Quickcast),1,,,,1,,
adk,119,"Beelzebub, Lord of Flies",Resonator,5,,,,,2,3
adk,123,Command of Life and Death,Chant,2,,,,,1,1
adk,130,Deadly Housefly,Resonator,1,,,,,1,
adk,134,Hilda and Saffina,Resonator,4,,,,,4,
adk,135,"Jeanne d'Arc, Mad Maiden",Resonator,2,,,,,2,
adk,146,Angel Statue of the Tower,Addition,2,,,,,,2
tsw,008,Flourishing Hope/Burgeoning Despair,Chant (Quickcast),1,1,,,,,
tsw,016,Life Stealing Altar/Soul Returning Altar,Addition,1,1,,,,,
tsw,018,Mephistopheles/Mephistopheles,Resonator,3,2,,,,,1
tsw,019,Miscalculation,Chant (Quickcast),1,1,,,,,
tsw,025,Separation of Fates,Chant (Quickcast),1,1,,,,,
tsw,057,"Ultra Dragon, Shooting Star",Resonator,3,,3,,,,
tsw,094,"Laurite, Seven Luminaries Astrologian",Resonator,1,,,,1,,
tsw,095,Laurite's Deletion Magic,Chant (Quickcast),1,,,,1,,X
tsw,096,Laurite's Wind,Chant (Quickcast),2,,,,2,,
tsw,103,"Rachel, the Ancient Library Researcher",Resonator,3,,,,2,,1
tsw,143,Thought Control,Chant,1,,,,,1,
tsw,146,Ruined Story,Chant (Quickcast),2,,,,1,1,
tsw,148,Magic Stone of Hope/Magic Stone of Despair,Special Magic Stone,0,,,,,,
tsw,149,Null Magic Stone,Special Magic Stone,0,,,,,,
wom,003,Arrival of the Hero,Chant (Quickcast),2,2,,,,,
wom,004,"Atom Seikhart, the Envoy of Valhalla",Resonator,3,1,,,,,2
wom,042,"Welser, the Arch Mage of Fire",Resonator,6,,3,,,,3
wom,061,"Unyielding Dragon Lord, Ragnarok",Resonator,6,,,3,,,3
wom,070,Laurite's Seven Disciples,Resonator,3,,,,2,,1
wom,076,"Reincarnation of the Holy Tree, Yggdrasil",Resonator,2,,,,2,,
wom,086,Winds of Salvation,Chant (Quickcast),3,,,,2,,1
wom,094,Glint of Insight,Chant,1,,,,,1,
wom,100,"Rei, the Black Hour/Zero",Resonator,2,,,,,1,1
wom,108,"Vice Leader of the Chivalrous Thieves, Blazer",Resonator,3,,,,,1,2
wom,109,Heroic Epic for the Thousandth Night,Chant,3,,1,,,1,1
wom,110,"Attoractia, City of Verdant Green",Addition,2,,1,,1,,
wom,111,Beyond the Threshold of Time,Chant,3,,,1,1,,1
wom,117,"The Kingdom of Diversity, Light Palace",Addition,2,1,,1,,,
sdv1,001,Acolyte of the Sun,Resonator,1,1,,,,,
sdv1,009,"Eir, Valkyrie of Mercy",Resonator,3,2,,,,,1
sdv2,018,Sandworm,Resonator,1,,1,,,,
sdv2,019,"Set, the Commander of Destruction",Resonator,4,,4,,,,
sdv3,010,Hansel of the Misty Wood,Resonator,2,,,1,,,1
sdv3,021,Scarecrow Guide,Resonator,1,,,1,,,
sdv4,002,"Chiyome, the Captivating Kunoichi",Resonator,4,,,,2,,2
sdv4,004,Fairy of the Lost Isles,Resonator,1,,,,1,,
sdv5,012,Patchwork Frankenstein,Resonator,2,,,,,2,
sdv5,016,Skeleton Horde,Resonator,1,,,,,1,
ndr,003,Balmung,Chant,4,2,,,,,2
ndr,004,Blessing of the Sun,Chant,2,2,,,,,
ndr,006,Commander of Minerva,Resonator,2,2,,,,,
ndr,007,"Country of the Sun, Minerva",Addition,2,1,,,,,1
ndr,018,Spear of the Valkyire,Chant (Quickcast),2,1,,,,,1
ndr,028,"City of Mirage, Sandora",Addition,2,,1,,,,1
ndr,033,"Osiris, Lord of the Afterlife",Resonator,3,,2,,,,1
ndr,034,Sandstorm,Chant,1,,1,,,,
ndr,041,"Arondight, the Nitrogen Blade",Chant (Quickcast),1,,,1,,,
ndr,044,"Hamelin, the Sound of Temptation",Resonator,5,,,3,,,2
ndr,045,Invitation,Chant,3,,,2,,,1
ndr,047,"Jormungandr, Little Eater of Worlds",Resonator,1,,,1,,,
ndr,064,Explore the Unknown,Chant,1,,,,1,,
ndr,068,"Jubei, the One-Eyed Swordsmaster",Resonator,5,,,,2,,3
ndr,069,"Karura, the Crow Tengu",Resonator,5,,,,2,,3
ndr,075,Song of the Fairies,Chant (Quickcast),3,,,,2,,1
ndr,076,Squall of the Tengu,Chant (Quickcast),3,,,,2,,1
ndr,079,"The Village of the Spirited Away, Kouga",Addition,1,,,,1,,
ndr,082,"Azazel, the Fallen Angel of Gloom",Resonator,4,,,,,2,2
ndr,083,"Belial, the Evil from the Scriptures",Resonator,6,,,,,3,3
ndr,092,Life Severing Blade,Chant (Quickcast),3,,,,,1,2
ndr,093,Look of Corruption,Chant,1,,,,,1,
ndr,095,Minister of Grief,Resonator,4,,,,,2,2
ndr,096,Oborozuki,Resonator,2,,,,,2,
ndr,099,Skeleton Knight,Resonator,4,,,,,2,2
ndr,102,Magic Stone of Chaos,Special Magic Stone,0,,,,,,
ndr,103,Magic Stone of Corruption,Special Magic Stone,0,,,,,,
ndr,106,Magic Stone of Faith,Special Magic Stone,0,,,,,,
ndr,107,Magic Stone of Omniscience,Special Magic Stone,0,,,,,,
ndr,108,Magic Stone of the Hermit,Special Magic Stone,0,,,,,,
ndr,109,Magic Stone of the Undead,Special Magic Stone,0,,,,,,
snv,002,Barrier of Faith,Chant (Quickcast),1,1,,,,,
snv,030,Ruins Beneath the Sands,Addition,2,,2,,,,
snv,043,Diverse Evolution,Chant,3,,,2,,,1
snv,053,"Schrodinger, the Harlequin Phenomena",Resonator,4,,,1,,,3
snv,056,Skyfall,Chant,1,,,1,,,
snv,073,"Remyu, Cat Tongued Tea Master",Resonator,5,,,,2,,3
snv,078,The Six Jizo Statues ,Resonator,1,,,,1,,
snv,079,The Unsealing of God,Chant,1,,,,1,,
snv,081,"Amon, Conspirer of Atrocities",Resonator,5,,,,,2,3
snv,082,"Astema, the Returnee of Hatred",Resonator,3,,,,,2,1
snv,083,"Athenia, Sealed God of the Ruins",Resonator,5,,,,,2,3
snv,087,Contract Demon,Resonator,2,,,,,2,
snv,092,March of the Dead,Chant,1,,,,,1,
snv,094,"Orpheus, the Immortal Player",Resonator,2,,,,,2,
snv,095,Power of Immortality,Chant (Quickcast),2,,,,,1,1
aoa,019,Volley,Chant (Quickcast),1,1,,,,,
aoa,032,"Nyarlethotep, the Return of Chaos",Resonator,2,,2,,,,
aoa,035,"Shu, Ruler of Air",Resonator,1,,1,,,,
aoa,039,"Ushuah, the Swordsman of Eternal Flame",Resonator,6,,3,,,,3
aoa,048,"Garmheld, Half of God",Resonator,3,,,2,,,1
aoa,051,Loki's Insight,Chant (Quickcast),2,,,1,,,1
aoa,061,Two Hundred IQ,Chant,2,,,,1,,1
aoa,084,"Diabolos, Sealed God of Madness",Resonator,5,,,,,2,3
aoa,089,Freed from the Altar,Chant,2,,,,,1,1
aoa,091,Harvesting Season,Chant,2,,,,,1,1
aoa,092,"Lailah, Maiden of the Swamps",Resonator,1,,,,,1,
aoa,093,"Laurier, Dark Corpse Sorceress",Resonator,3,,,,,2,1
aoa,095,Mana Transmuter,Resonator,3,,,,,1,2
aoa,096,"Oborozuki, Caller of Gods",Resonator,4,,,,,4,
aoa,099,Sacrificial Altar,Addition,2,,,,,1,1
dbv,002,Angel of Zeus,Resonator,1,1,,,,,
dbv,003,"Angroda, Giant of the Setting Sun",Resonator,7,3,,,,,4
dbv,009,"Dark Alice, Rabbit Princess",Resonator,1,1,,,,,
dbv,015,Messenger of Odin,Resonator,1,1,,,,,
dbv,020,Desert Miner,Resonator,1,,1,,,,
dbv,024,"Isis, Last of the Ascendants",Resonator,3,,2,,,,1
dbv,033,"Surtr, the Explosion Giant",Resonator,7,,3,,,,4
dbv,035,Tiny Fire and Water Dragon,Resonator,1,,1,,,,
dbv,037,"Arthur, Knight of the Final Act",Resonator,2,,,1,,,1
dbv,038,"Bergelmir, Giant of Eternal Ice",Resonator,7,,,3,,,4
dbv,039,Clockwork Girl,Resonator,1,,,1,,,
dbv,053,Shadow of Chronos,Resonator,1,,,1,,,
dbv,055,Acolyte of Shiva,Resonator,1,,,,1,,
dbv,056,"Bastet, Creator of Cats",Resonator,1,,,,1,,
dbv,059,Calico Cat Shikigami,Resonator,1,,,,1,,
dbv,071,"Trou, Giant of Destruction",Resonator,7,,,,3,,4
dbv,075,Fallen Angel of Firey Vengeance,Resonator,1,,,,,1,
dbv,081,"Lucifer, Leader of the Fallen Angels",Resonator,3,,,,,2,1
dbv,082,Onlooking Vampire,Resonator,1,,,,,1,
dbv,089,"Utgarda Loki, Giant of Darkness",Resonator,7,,,,,3,4
dbv,091,"Alice, Zeus Incarnate",Resonator,3,1,,1,,,1
dbv,092,"Athenia, Diety of Harvest and Corruption",Resonator,3,,,,1,1,1
dbv,093,"Deus Ex Machina, God of Machines",Resonator,2,,,1,1,,
dbv,094,"Genshi Tenson, God of Flame",Resonator,3,,1,1,,,1
dbv,095,"Kaguya, Sealed God of the Moon",Resonator,3,1,,,1,,1
dbv,096,"Nyarlathotep, God Devouring Messiah",Resonator,2,1,1,,,,
dbv,097,"Odin, Supreme God",Resonator,6,2,,,,2,2
dbv,098,Perfect Loki,Resonator,2,,,1,,1,
dbv,099,"Satan, God of the Fallen",Resonator,5,,1,,,1,3
dbv,100,"Shiva, God of Destruction",Resonator,5,,1,,2,,2
sdao1,012,"Perceval, the Fascinated by Holy Grail",Resonator,1,,1,,,,
sdao1,020,Awakening of the Flame King,Chant (Quickcast),3,,2,,,1,
sdao1,021,Awakening of the Sacred Queen,Chant (Quickcast),3,2,,1,,,
sdao1,022,Bloody Break,Chant (Quickcast),2,,1,,,1,
sdao1,029,Sacred Wave Blade,Chant (Quickcast),2,1,,1,,,
sdao1,030,Traveler in Wonderland,Resonator,3,2,,1,,,
sdao1,033,Attoractia's Memoria,Special Magic Stone,0,,,,,,
aopr,002,Kusinagi Motoko,Resonator,7,,,,,,7
aopr,004,Kusinagi Motoko and Section 9,Resonator,3,,,,,,3
ao1,007,"Izanami, the God of Life",Resonator,3,2,,,,,1
ao1,010,"Oroboros, the Reincarnating Light Serpent",Resonator,5,5,,,,,
ao1,011,Parry,Chant (Quickcast),1,1,,,,,
ao1,015,Seal of Lennith,Addition,1,1,,,,,
ao1,032,Regalia Break,Chant (Quickcast),1,,1,,,,
ao1,034,Sanguine Arena,Addition,1,,1,,,,
ao1,039,Bewildering Charm,Chant (Quickcast),1,,,1,,,
ao1,041,"Vala, the Bewildering Mage",Resonator,2,,,2,,,
ao1,044,Dark Indication,Chant,1,,,,,1,
ao1,047,"Athena, the Guardian of Blaze",Resonator,3,2,1,,,,
ao1,049,Blazer ,Resonator,4,,2,,,2,
ao1,059,Light of Raze and Revive,Chant (Quickcast),2,1,1,,,,
sdao2,005,"Perceval, the Charmed Knight",Resonator,1,,,1,,,
sdao2,013,Pricia's Encouragement,Chant (Quickcast),1,,,,1,,
sdao2,018,Awakening of the Beast Queen,Chant (Quickcast),3,,1,,2,,
sdao2,025,Magna's Guardian Beast,Resonator,3,,1,,2,,
ao2,002,Secret Duel in the Moonlight,Chant,1,,1,,,,
ao2,025,Don't Cheat!,Chant (Quickcast),3,,,,3,,
ao2,037,Aura of the Sacred Sword,Chant (Quickcast),2,1,,1,,,
ao2,038,Awakening of Ambition,Chant,2,,,1,,1,
ao2,039,Burning Rush! ,Chant (Quickcast),2,,1,,1,,
ao2,049,Nameless Knight,Resonator,2,1,,1,,,
ao2,055,Wanderer in the Nightmare Land,Resonator,3,,,1,,2,
gits2045,003,Android Harlot,Resonator,1,,,,,,1
gits2045,004,Aramaki and Togusa,Resonator,3,,,,,,3
gits2045,013,Batou and Togusa,Resonator,4,,,,,,4
gits2045,017,Borma,Resonator,5,,,,,,5
gits2045,034,"Kusanagi Motoko, Boarding Tachikoma",Resonator,7,,,,,,7
gits2045,037,"Kusanagi Motoko, the Major",Resonator,2,,,,,,2
gits2045,046,"Purin Esaki, the Girl in Love",Resonator,1,,,,,,1
gits2045,067,"Togusa, the Competent Investigator",Resonator,1,,,,,,1
gits2045,075,Home Ministry,Special Magic Stone,0,,,,,,
gits2045,076,NSA Headquarters,Special Magic Stone,0,,,,,,
gits2045,077,Prime Minister's Office,Special Magic Stone,0,,,,,,
gits2045,078,Section 9 Headquarters,Special Magic Stone,0,,,,,,
gits2045sd,002,Batou and Kusanagi Motoko,Resonator,5,,,,,,5
gits2045sd,006,"Kusanagi Motoko, in Body Suit",Resonator,4,,,,,,4
gits2045sd,008,Optical Camouflage,Chant (Quickcast),1,,,,,,1
gits2045sd,013,Gated Town,Special Magic Stone,0,,,,,,
ao3,006,Crystallization,Chant (Quickcast),1,1,,,,,
ao3,013,Mourning Angel,Resonator,1,1,,,,,
ao3,014,"Pierre, the Godspeed Archer",Resonator,1,1,,,,,
ao3,035,Faurecia's Journey,Chant (Quickcast),1,,,,1,,
ao3,038,"Perceval, the Flying Knight",Resonator,1,,,,1,,
ao3,046,Mikage Reiya,Resonator,1,,,,,1,
ao3,047,Moan of the Dead,Chant (Quickcast),1,,,,,1,
ao3,051,Residents of the Black City,Resonator,1,,,,,1,
ao3,055,A Part of True Power,Chant (Quickcast),2,,,,1,1,
ao3,056,Angel of Healing,Resonator,3,2,,,1,,
ao3,058,Awakening of the Undead Lord,Chant (Quickcast),2,,,,1,1,
ao3,059,Awakening of the Winged Lord,Chant (Quickcast),2,1,,,1,,
ao3,066,Earthly Flash,Chant (Quickcast),2,1,,,1,,
ao3,067,"Faurecia, the Virtuous Vampire",Resonator,2,,,,1,1,
ao3,071,Heavenly Flash,Chant,4,2,,,2,,
ao3,074,Mikage Seijuro,Resonator,4,,,,1,3,
ao3,075,Mikage Seijuro's Game of Dreams,Chant,4,,,,2,2,
ao3,082,"Sigurd, the Convenant King",Resonator,2,,,,1,1,
ao3,084,The End of Friendship,Chant (Quickcast),2,,,,1,1,
ao3,085,The Last Sacred Sword,Chant,3,,2,,,1,
pofa,001,Intimidation,Chant (Quickcast),1,1,,,,,
pofa,004,Mage Jack,Resonator,1,1,,,,,
pofa,007,Schrodinger's Cry,Chant (Quickcast),1,1,,,,,
pofa,009,The Road to the Scared Queen,Addition,1,1,,,,,
pofa,015,Wizard of Vell Savaria,Resonator,1,1,,,,,
pofa,016,Workshop Assistant Researcher,Resonator,3,2,,,,,1
pofa,017,Yggdrasil's Grace,Chant (Quickcast),1,1,,,,,
pofa,019,"Alisaris, Minion of Lapis",Resonator,2,,2,,,,
pofa,021,Blaze Tornado,Chant,3,,2,,,,1
pofa,023,Magical Arrow,Chant (Quickcast),1,,1,,,,
pofa,027,Swordsmaster of Exploding Flame,Resonator,1,,1,,,,
pofa,028,Sylvia's Burning Flame,Chant (Quickcast),1,,1,,,,
pofa,029,The Road to the Flame King,Addition,1,,1,,,,
pofa,033,Random Walk,Chant (Quickcast),1,,,1,,,
pofa,038,Behemoth,Resonator,4,,,,3,,1
pofa,040,A Meeting in the Darkest Night,Chant,1,,,,,1,
pofa,045,Black Moon Ray,Chant (Quickcast),1,,,,,1,
pofa,051,Curse of Caduceus,Addition,1,,,,,1,
pofa,052,Dark Alice's Smile,Chant,1,,,,,1,
pofa,064,Mind Break,Chant,2,,,,,2,
pofa,073,Shadow X,Resonator,1,,,,,1,
pofa,082,Attack Stance,Addition,2,1,1,,,,
pofa,085,Cage of Mother Goose,Addition,2,1,,,,1,
pofa,087,Defense Stance,Addition,2,1,,,1,,
pofa,096,Mad Pyromancer,Resonator,2,,1,,,1,
pofa,097,Magic Stance,Addition,2,1,,,1,,
pofa,098,Magic Storing Golem,Resonator,2,,,1,1,,
pofa,100,Necromancer,Resonator,3,,,,1,2,
pofa,101,Nidhogg,Resonator,4,2,,,,2,
pofa,111,The Final Stance,Addition,5,1,1,1,1,1,
pofa,112,The Origins of the Seven Lands,Addition,5,1,1,1,1,1,
pofa,114,Titania,Resonator,4,1,,,1,,2
pofa,119,Ziz,Resonator,2,,,1,1,,
edl,001,Disspelling Stone,Chant (Quickcast),1,1,,,,,
edl,002,"Endless Starlight, the Star Sword",Chant (Quickcast),1,1,,,,,
edl,003,Exorcist Mage at the Academy,Resonator,1,1,,,,,
edl,004,"Flute, Captive Dragonoid Child//Group of Comets",Alternate,5,4,,,,,1
edl,012,"Selmeria, Summoner of Spirits//Dance of Spirits",Alternate,4,4,,,,,
edl,020,"Arle, the Seven-Tailed Fox//Arle's Flame",Alternate,3,,3,,,,
edl,021,Burning Rabbit Dash,Chant,2,,2,,,,
edl,023,Claw of the Dragonoid,Chant (Quickcast),1,,1,,,,
edl,027,Groundsplitter Rabbit//Split Heaven and Earth,Alternate,3,,3,,,,
edl,035,Shrine of the Dragonoids,Addition,1,,1,,,,
edl,036,Spirit of Scorched Bales,Resonator,3,,3,,,,
edl,038,Thunderwolf//Thunder,Alternate,4,,4,,,,
edl,039,Academy Guard of Lykeion,Resonator,1,,,1,,,
edl,041,"Chelina, Sorceress of Sending Back//Send Back",Alternate,2,,,2,,,
edl,042,Crown of the Ancient King,Chant (Quickcast),2,,,2,,,
edl,043,Endless Purse,Chant (Quickcast),1,,,1,,,
edl,044,Insatiable Desire for Treasure,Chant (Quickcast),2,,,2,,,
edl,045,Jewel of the Panda King,Chant (Quickcast),2,,,2,,,
edl,046,"Kiki, Selesta's Partner//Kiki's Exploration",Alternate,2,,,2,,,
edl,048,Mermaid's Thunder Parasol,Chant (Quickcast),1,,,1,,,
edl,049,"Mirage, Fantasy Guide//Foresee",Alternate,4,,,4,,,
edl,058,"Altesing, Mischevious Boy//A Glimpse of the Prodigy",Alternate,5,,,,5,,
edl,059,Altesing's Secret Hideout,Addition,1,,,,1,,
edl,061,Elixir's Love,Chant,2,,,,1,,1
edl,062,"Lykeion, the Magic Academy",Addition,3,,,,3,,
edl,063,Magic Crest of Wind,Addition,3,,,,1,,2
edl,064,Magical Dragon,Resonator,5,,,,5,,
edl,066,Monsterous Rush,Chant,2,,,,2,,
edl,068,Spirit of Magic,Resonator,1,,,,1,,
edl,069,Spirit of the Soil//Loamy Soil,Alternate,5,,,,3,,2
edl,070,Stormy Sky,Chant,1,,,,1,,
edl,075,Wind of the Star,Chant (Quickcast),2,,,,2,,
edl,077,Abhorrent Revival,Chant,3,,,,,3,
edl,078,Arm of the Demon,Chant (Quickcast),1,,,,,1,
edl,079,Bone Dragon,Resonator,5,,,,,5,
edl,083,Interdimensional Graveyard,Addition,1,,,,,1,
edl,085,Lonely Vampire,Resonator,1,,,,,1,
edl,092,The Elegant Mikage Sisters//Eternal Reccurence,Alternate,8,,,,,5,3
edl,093,"The Hidden history ""Mikage""",Addition,1,,,,,1,
edl,094,"Tsuiya, Cursed Spawn of the Star//Curse of Ragnarok",Alternate,3,,,,,3,
edl,097,Epic Stone of the Blood,Special Magic Stone,0,,,,,,
edl,098,Epic Stone of the Dragon,Special Magic Stone,0,,,,,,
edl,099,Epic Stone of the Elements,Special Magic Stone,0,,,,,,
edl,100,Epic Stone of the Star,Special Magic Stone,0,,,,,,
edl,101,Epic Stone of the Treasure,Special Magic Stone,0,,,,,,
msw,001,A Duet of Light,Chant,2,2,,,,,
msw,004,Gathering of the Six Sages,Chant (Quickcast),1,1,,,,,
msw,005,Guardian Wizard,Resonator,2,2,,,,,
msw,007,Messenger From the Spirit Village,Resonator,2,1,,,,,1
msw,008,Princess Kaguya//Flying Bamboo,Alternate,4,2,,,,,2
msw,014,The Awakening of Almerius,Chant (Quickcast),2,2,,,,,
msw,015,The Awakening of Zero,Chant (Quickcast),1,1,,,,,
msw,016,The Beginning of a Fairy Tale,Chant (Quickcast),1,1,,,,,
msw,019,A Duet of Fire,Chant,2,,2,,,,
msw,020,Cane of the Salamander,Addition,1,,1,,,,
msw,022,"Elfina, Spirit of Trials",Resonator,2,,2,,,,
msw,029,Snow White of the Red Apple//Apple Avenger,Alternate,3,,3,,,,
msw,032,The Awakening of Milest,Chant,1,,1,,,,X
msw,034,A Duet of Water,Chant (Quickcast),3,,,2,,,1
msw,035,"Cinderella, Freed from the Ashes//Rampaging Pumpkin Carriage",Alternate,5,,,4,,,1
msw,036,Fairy Tale Rabbit,Resonator,1,,,1,,,
msw,037,"Fiola, Spirit of Oblivion ",Resonator,2,,,2,,,
msw,038,Fountain of the Oblivion Moon,Addition,4,,,2,,,2
msw,039,Illusionary Flower of Sorrow,Addition,1,,,1,,,
msw,040,Illusionary Mermaid,Resonator,1,,,1,,,
msw,043,"Neverend, Fairy Tale Dragon",Resonator,1,,,1,,,
msw,046,Spirit of Knowledge,Resonator,1,,,1,,,
msw,047,The Awakening of Moojdart,Chant,2,,,2,,,
msw,048,Three-Eyed Fortune Teller,Resonator,2,,,2,,,
msw,049,A Blank Page,Addition,3,,,,2,,1
msw,050,A Duet of Wind,Chant (Quickcast),4,,,,2,,2
msw,051,An Ancestor's Portrait,Addition,2,,,,1,,1
msw,055,"Little Red, Fairy Tale of Air//Wind of Gods",Alternate,2,,,,2,,
msw,058,Magic Stone Devotee,Resonator,1,,,,1,,
msw,059,"Scheherazade, Weaver of Fairy Tales",Resonator,3,,,,1,,2
msw,060,The Awakening of Fiethsing,Chant ,1,,,,1,,X
msw,062,The Release of the Fairy Tales,Chant,2,,,,1,,1
msw,063,"Trish, Spirit of Autumn Wind",Resonator,3,,,,2,,1
msw,064,"Welser, Master of the Six Sages//His Last Lecture",Alternate,3,,,,3,,
msw,065,Wind Stone Shot,Chant (Quickcast),2,,,,1,,1
msw,066,A Duet of Darkness,Chant,2,,,,,2,
msw,067,A World Invaded,Chant,3,,,,,1,2
msw,068,"Abdul Alhazred, Poet of Madness//Dark Pulse",Alternate,6,,,,,4,2
msw,069,Assault from the Demonic World,Chant (Quickcast),1,,,,,1,
msw,070,Awakening of the Magic Stones,Chant (Quickcast),1,,,,,1,
msw,071,"Darksphere, Spirit of the Dark Night",Resonator,3,,,,,1,2
msw,072,Extraction Wizard,Resonator,1,,,,,1,
msw,074,Lilias Petal//Awakening of the Nine-Tailed Fox,Alternate,4,,,,,4,
msw,076,Secluded Fox Village,Addition,1,,,,,1,
msw,077,Sparkling Boon of the Magic Stones,Chant,3,,,,,1,2
msw,079,Student at the Institute,Resonator,5,,,,,1,4
msw,080,The Awakening of Grusbalesta,Chant (Quickcast),7,,,,,1,6
msw,081,The Transformed,Resonator,1,,,,,1,
msw,082,Ultra Magic Stone Golem,Resonator,9,,,,,1,8
msw,084,"Azathoth, Manifestation of Death",Resonator,2,,,1,,1,
msw,087,Magic Stone Research Institute,Addition,2,,,,1,1,
msw,090,"Nyarlethotep, Bringer of War",Resonator,2,,1,,,1,
msw,092,"Shub-Niggurath, Gatekeeper of Outer World",Resonator,2,,1,,,1,
msw,094,Symphony of the Two Great Dragons,Chant,4,2,,2,,,
msw,099,"Yog-Sothoth, True Hunger",Resonator,2,,1,1,,,
msw,101,The Magic Stone of the Demonic World,Special Magic Stone,0,,,,,,
msw,102,The Magic Stone of the Six Sages,Special Magic Stone,0,,,,,,
